boxing,1
tooth,2
carbs,9
poem,2
exactly,49
adds,16
hong,30
kong,30
awesome,156
version,47
treat,36
yarrow,1
onion,65
wowed,4
traditional,95
style,132
carte,10
oily,50
bbt,1
afforable,1
run,37
hawaii,2
manapua,1
consistency,25
created,8
worthy,11
pros,20
cons,21
secondly,2
lighter,10
fluffier,1
dimsum,4
picture,28
keep,81
silly,2
playful,3
lined,8
winning,2
flavorings,1
alas,8
ie,4
birds,6
trays,3
savories,1
sweets,3
fraction,3
cost,48
ridiculously,11
bunnies,1
chicks,2
frogs,4
bears,2
fit,19
innards,2
azuki,1
dense,7
reasonably,58
priced,101
easily,72
party,66
brunch,66
breaking,4
bank,9
onthego,1
definite,10
mustreturn,1
check,139
eyecatching,2
pass,17
opportunity,14
heres,20
rundown,1
stock,12
fairly,52
aftertaste,9
unless,49
combination,40
offputting,2
combined,10
complements,1
appease,3
tastebuds,8
eyesight,1
dinein,4
option,132
lights,34
flashy,1
complaints,18
commendable,1
piece,46
bummer,6
verdict,8
filler,3
words,24
hkcanto,1
plethora,5
teadrink,1
bright,33
caution,9
late,109
available,81
learned,10
beyond,33
importantly,15
fancy,69
location,198
comes,123
choice,115
anime,1
tour,11
hits,16
melted,10
heavy,52
weekly,6
routine,4
drop,19
groceries,8
st,36
laurent,13
treats,5
five,60
chatime,1
understaffed,9
resulting,4
peak,16
requested,21
job,27
marketing,3
products,9
difficult,25
unfamilliar,1
introduction,3
munchies,2
balls,20
werent,70
cause,27
ig,1
bf,14
stores,4
squeal,1
felt,142
torturing,1
thicker,21
chewing,6
microwave,6
wanting,22
flavoring,8
ahhhhhh,1
sooo,25
purpose,3
yelp,104
okay,134
empty,43
till,9
closing,26
cashier,21
turn,25
u,31
til,6
register,14
waste,33
specializes,5
pastriesbakery,2
immense,2
name,77
misleading,3
areas,13
spread,8
specifically,17
types,37
amalgamation,1
teas,11
excellent,336
seed,4
tarts,1
piggy,3
noncute,1
overpowering,11
soooo,17
bunch,50
philadelphia,4
cha,25
slightly,84
pairs,6
ball,18
congeefried,1
advertised,5
lacked,60
freshly,39
reasonable,152
congee,9
feuded,1
domain,5
har,13
gao,3
stocky,1
sharing,46
stronger,6
mad,8
year,76
visits,9
personal,28
shapes,6
animals,4
diverse,13
offering,16
fave,11
mtl,38
sampled,10
lo,5
gai,8
gow,9
opinion,38
pricey,66
ahhhh,1
lordy,1
honolulu,1
close,124
twenty,8
recalibrate,1
brain,1
inflation,1
ordinary,16
gooey,3
soya,15
based,79
test,9
steamy,7
cuter,1
enticing,6
severely,5
matters,4
worse,25
accept,39
durian,6
puff,7
filing,1
strong,46
impressive,35
important,35
reviewers,15
noted,13
hair,16
embedded,1
politely,9
informed,8
lady,33
appeared,5
